x,y,z,mach
59.271067,-210.70924,-54.584276,2.63816
59.581291,-210.03452,-52.634676,1.93469
62.391139,-208.56831,-54.047623,1.60691
37.541995,-203.29606,-91.750574,1.63535
39.166216,-207.48977,-87.997572,2.7076
43.927892,-209.7438,-85.715017,5.0
43.090821,-208.89748,-85.365568,2.47875
43.095278,-202.35179,-84.98492,3.23979
44.445378,-201.6052,-84.774092,3.44188
47.174995,-218.48423,-79.442334,2.81575
44.116879,-219.26069,-81.341567,2.53672
45.365353,-215.32293,-83.875511,3.51413
45.392988,-215.94026,-82.229896,2.64022
46.941436,-216.2107,-81.431603,4.91549
46.173006,-219.61559,-80.062783,2.37469
39.027595,-234.12594,-79.860424,3.60425
35.316938,-209.76876,-95.994763,2.95812
33.95614,-202.90805,-94.233705,2.14325
120.09598,-216.63481,-99.082298,1.53883
-1.6590406,-6.9395444,1.3042438,1.6252
0.45369417,-6.1778011,1.9046348,3.65816
1.821623,-6.2043217,2.3271818,2.42654
1.6990487,-5.9307582,3.1294861,2.11221
2.1345216,-6.1158454,3.059953,2.65789
2.2597703,-5.7236077,3.806096,1.79107
2.2437242,-5.8836228,3.1450864,2.27353
0.70062561,-4.9949594,3.2297741,1.96188
-0.20865261,-4.7269674,3.6353835,2.46773
-27.534246,143.48772,59.432085,5.0
-35.387467,137.85209,50.127134,1.72617
-8.5084903,-41.704617,1.3550564,5.0
-105.09479,-44.208587,3.0603988,1.68914
-25.64482,-75.961671,-341.92778,1.6332
-46.703523,-39.970303,-341.70269,2.5084
17.908715,24.695092,-280.82294,3.6782
17.424213,25.648274,-276.40581,3.25267
28.184896,21.248192,-284.17078,5.0
15.566878,19.394312,-286.5514,5.0
15.115805,23.079563,-277.72338,4.07881
16.437378,23.174614,-281.98941,4.43726
15.594959,20.55431,-280.51094,2.3811
-8.6533508,24.578089,-274.64609,5.0
-5.0897829,20.469511,-278.06837,4.0222
-4.4483852,21.438517,-278.35987,4.33504
-5.3750467,23.949506,-277.84818,5.0
-4.2799013,22.52965,-281.26778,4.56346
-4.7519237,18.686724,-283.95594,4.83506
-8.0262163,15.300777,-285.55565,4.55953
-10.026628,20.383598,-288.45509,3.6321
-7.5934177,18.813087,-288.80052,1.61888
-7.652699,23.273119,-287.8538,2.15934
-10.808429,22.415768,-282.91161,5.0
-6.2473298,23.27245,-282.7039,2.4948
-4.1818419,22.477501,-286.36598,1.66988
-5.6554075,21.868084,-286.04283,1.84492
-2.3182673,19.097348,-283.84852,4.1383
-3.4058353,18.582202,-287.56809,5.0
-0.81617526,17.214942,-285.68669,4.25527
-12.096128,11.509777,-287.82038,4.58548
-18.412938,17.918184,-287.40674,5.0
-14.166073,16.316918,-287.45444,4.80104
-11.712805,13.710542,-286.85137,1.76339
-14.469166,12.472319,-288.38867,4.11475
-13.780967,12.985683,-283.34441,4.708
-12.641249,15.499236,-282.96911,1.97318
-11.63926,18.453833,-284.90756,2.39985
-15.577684,17.540989,-281.83028,5.0
-15.985967,16.676395,-280.45923,3.76249
-20.032701,21.906082,-278.30148,4.25462
-19.477328,22.889796,-280.59964,3.76104
-18.01758,20.322311,-279.71576,3.27864
-23.075663,2.6731755,-311.5249,3.17957
-15.064209,6.8842702,-309.82758,2.93863
-19.771506,7.3288801,-313.05463,3.66879
-17.370388,23.837184,-289.56762,2.15527
-17.122565,19.238086,-292.19472,2.60751
-20.611252,19.800479,-293.70349,2.99262
-1.7869635,15.357607,-290.94357,5.0
0.61415504,17.569181,-293.43561,4.39351
1.8947218,18.590893,-291.41693,5.0
-0.79567192,20.666187,-289.94871,4.40334
-3.9522937,20.182576,-291.44412,3.94794
-6.0275875,24.656425,-291.24889,2.41743
-4.7447921,22.295756,-294.2134,3.06465
-7.8269774,15.889802,-289.10807,4.88275
-5.0581365,16.54602,-289.32336,4.63216
