x1,y1,z1,M1,x2,y2,z2,M2
-189.11477,-59.679127,117.71726,3.29938,364.98621,19.118218,158.03204,3.40517
-190.94581,-62.040465,116.52852,4.50506,370.82603,18.853678,149.61438,2.90806
-187.66527,-63.148425,117.34642,4.32262,370.36065,19.685877,151.84223,2.62324
-185.57081,-62.08292,118.56102,3.48172,374.0154,19.552466,150.44657,2.19755
-186.71187,-58.704773,125.55266,5.0,341.00436,16.704552,159.47096,1.94731
-190.50855,-58.232309,123.67348,5.0,365.79822,15.627886,165.07232,1.8626
-191.20789,-60.607238,124.09335,5.0,372.4885,13.29595,160.21951,2.45042
-188.20193,-63.250162,125.44836,5.0,369.74335,10.11607,164.18435,2.08153
-185.50752,-64.322798,126.14592,5.0,-253.17713,90.491185,7.2564103,2.27622
-185.75713,-62.632276,127.41445,4.13846,-251.7834,91.155598,8.2188964,2.91384
-188.14844,-58.735528,128.65223,5.0,-364.28508,-241.92005,-41.169305,4.40158
-188.23179,-61.204509,126.33089,5.0,-360.39908,-256.21539,-25.803191,1.55877
-188.50279,-61.336443,127.39885,5.0,-365.12833,-220.15175,7.4169849,3.93183
-186.78898,-58.885403,126.27741,5.0,-363.71105,-212.00764,-16.686501,2.63448
-185.20978,-59.329679,128.74627,5.0,-364.11345,-228.55992,-45.206745,3.27517
-183.96665,-59.552207,129.27847,5.0,-355.06214,-235.02016,-38.130408,3.00393
-184.64237,-61.871758,128.19937,4.91939,-349.15309,-222.29475,-35.623715,2.71648
-184.79614,-64.202007,125.58519,5.0,-380.85839,-180.41028,-20.476348,5.0
-189.2213,-64.826021,110.56428,4.31193,-379.70744,-177.6977,-30.864173,5.0
-188.19301,-64.21003,112.28745,3.69564,-386.41071,-152.54567,-39.339044,5.0
-185.72325,-62.88333,115.19535,3.53511,-392.34091,-155.08385,-37.304459,5.0
-185.72191,-63.273896,115.33888,3.65915,-387.80107,-159.36192,-49.269184,2.40575
-184.60894,-63.422323,112.10247,3.97334,-381.50645,-150.31241,-49.551872,5.0
-183.34665,-66.616051,111.04521,4.71667,-373.83013,-179.54166,-49.187454,4.71275
-183.78613,-67.498252,110.80764,4.4918,-374.57291,-175.70314,-48.744673,5.0
-184.47344,-66.646137,109.86805,4.81018,-374.80319,-167.36372,-21.709502,3.29333
-188.38779,-65.223607,111.00822,5.0,-372.69889,-168.80036,-24.470519,3.13205
-185.93586,-68.686776,105.78076,3.9036,-375.41857,-172.67217,-26.924809,3.66944
-186.75912,-69.263544,107.69604,4.16518,-375.38684,-175.28127,-28.213251,4.83909
-185.55165,-67.265583,106.50684,4.00145,-369.54077,-176.23919,-33.460286,5.0
-184.10839,-66.687256,106.03705,3.58656,-362.83558,-191.11937,-49.557641,2.76672
