#id,x,y,z,mvir,Name,SGX,SGY,SGZ
214,313.05432,126.35358,91.55341,4.726368e14,,,,
215,381.92404,65.31148,334.00662,2.3635225e14,,,,
216,312.28522,8.3683405,395.5981,4.3421056e14,,,,
217,472.85776,286.81265,4.035986,3.4061228e14,,,,
218,333.92957,200.73557,97.65846,4.6319763e14,,,,
219,346.01028,116.487434,237.91878,4.3580325e14,,,,
220,335.81476,443.3986,324.8521,2.1491448e14,,,,
221,260.28387,16.751799,190.71025,4.2430995e14,,,,
222,227.37085,59.399033,276.99313,2.4440627e14,,,,
223,37.1679,418.20505,13.572764,1.896163e14,,,,
224,79.19835,293.1777,371.10184,4.7014044e14,,,,
225,354.71594,91.49854,399.55045,3.8503993e14,,,,
226,304.3143,60.724354,341.31573,4.392352e14,,,,
227,195.52556,486.75476,67.355545,4.5200008e14,,,,
228,391.98495,64.020294,349.15152,4.5524214e14,,,,
229,329.29727,247.8656,373.5571,4.6183985e14,,,,
230,321.91537,5.495329,252.7173,4.637936e14,,,,
231,32.02157,275.63626,303.90814,4.581836e14,,,,
232,255.2556,148.57071,397.558,4.4624895e14,,,,
233,53.96875,158.94046,379.1085,4.3471995e14,,,,
234,351.31277,271.0207,203.29591,4.0857316e14,,,,
235,427.02548,92.278496,309.3889,4.3190996e14,,,,
236,472.51,492.4308,171.49445,2.4565408e14,,,,
237,438.6739,92.37448,133.34978,3.7520167e14,,,,
238,404.57016,190.34549,127.66212,4.357928e14,,,,
239,37.139008,411.65817,190.49437,4.2962487e14,,,,
240,236.30472,494.70905,165.21687,4.515494e14,,,,
241,276.4268,349.6721,110.3569,4.6040895e14,,,,
242,56.518116,183.01514,45.51609,4.4536157e14,,,,
243,15.843512,176.23198,385.21133,4.3586056e14,,,,
244,404.17285,67.64771,232.0995,2.8317508e14,,,,
245,405.66263,282.41275,56.184723,4.3456476e14,,,,
246,361.69598,482.03958,382.03256,4.172312e14,,,,
247,83.874535,42.115498,140.79913,3.3866767e14,,,,
248,115.39094,428.08722,398.32706,3.748766e14,,,,
249,362.3477,218.73206,320.5398,4.370704e14,,,,
250,190.14464,64.62742,112.99426,4.4512595e14,,,,
251,395.53677,499.19766,42.80275,4.3443138e14,,,,
252,279.4002,430.1723,497.25174,4.1746844e14,,,,
253,139.87448,136.25267,303.06772,4.2968645e14,,,,
254,45.173874,273.09158,459.18994,4.3370227e14,,,,
255,422.59573,243.55156,71.60703,4.543056e14,,,,
256,107.96626,64.759254,474.87762,4.2734207e14,,,,
257,276.50177,482.67862,96.51467,4.546767e14,,,,
258,141.58467,370.06125,253.37321,4.0265953e14,,,,
259,383.69754,318.6286,266.72894,1.8903837e14,,,,
260,32.607788,34.960583,0.8382433,4.1296543e14,,,,
261,450.06522,286.27423,28.229467,1.6852982e14,,,,
262,134.46243,76.04483,312.52197,3.2696167e14,,,,
263,111.408356,220.55824,197.65712,4.3568984e14,,,,
264,49.991173,349.05386,429.57126,4.0738114e14,,,,
265,165.27275,74.1826,279.39944,4.0068444e14,,,,
266,65.46652,298.9939,430.14728,4.0413176e14,,,,
267,341.65613,459.58746,481.65442,4.3386424e14,,,,
268,170.2723,401.9493,463.49057,3.9085716e14,,,,
269,83.20126,123.16557,111.849815,4.1511715e14,,,,
270,338.3154,52.844154,386.6403,4.142675e14,,,,
271,442.0626,413.78027,30.886856,3.3468127e14,,,,
272,147.46666,302.38388,498.58548,4.315167e14,,,,
273,24.431276,425.39023,86.98496,3.9005323e14,,,,
274,38.85968,140.16476,77.29369,3.5330837e14,,,,
275,418.0936,83.27768,116.69374,3.6859634e14,,,,
276,154.91238,238.58412,66.919975,4.1400425e14,,,,
277,46.4606,172.61299,321.87338,2.4740181e14,,,,
278,168.73245,398.42126,317.34418,4.024271e14,,,,
279,380.9496,125.37874,242.85509,4.1769973e14,,,,
280,327.93384,26.512272,159.78964,4.1503054e14,,,,
281,384.86115,121.0548,482.43417,4.256158e14,,,,
282,420.89917,32.002308,491.5411,2.8522083e14,,,,
283,39.08272,390.67328,37.084526,4.008611e14,,,,
284,433.16043,375.69638,170.90224,3.9395594e14,,,,
285,168.05014,200.83867,403.30798,3.0492583e14,,,,
286,368.97668,439.84598,439.2247,3.975931e14,,,,
287,7.5424576,307.0804,40.03302,4.1285585e14,,,,
288,391.43015,437.52875,227.21855,4.0511474e14,,,,
289,1.3955367,173.0405,65.86046,2.2294593e14,,,,
290,264.16867,478.93597,98.439835,3.8059282e14,,,,
291,407.6847,125.10607,30.328676,3.9207347e14,,,,
292,48.87135,355.14838,342.06262,1.1733397e14,,,,
293,66.20722,405.28854,95.83694,3.2384114e14,,,,
294,303.35068,418.99384,33.048,4.2339066e14,,,,
295,278.33936,114.77244,369.64105,3.1472588e14,,,,
296,425.07312,165.72113,210.96544,3.9512286e14,,,,
297,302.44672,254.5049,173.17079,4.182539e14,,,,
298,338.37,496.26614,392.96652,4.031513e14,,,,
299,497.69916,183.25214,222.80998,3.9697695e14,,,,
300,180.06232,50.87379,391.62183,4.175933e14,,,,
301,338.60526,227.26248,156.12044,3.4559367e14,,,,
302,390.49228,490.08047,380.733,3.9990008e14,,,,
303,272.95413,419.28738,487.1709,2.8865066e14,,,,
304,338.66232,482.2418,308.99786,3.4735605e14,,,,
305,2.9278345,26.57902,406.0336,2.3490976e14,,,,
306,360.87018,164.26237,424.2554,3.7056324e14,,,,
307,166.65761,81.0934,6.5572057,2.323886e14,,,,
308,57.450695,351.05734,336.84598,3.948562e14,,,,
309,251.8648,145.06525,424.24863,3.892633e14,,,,
310,160.62326,75.68959,280.52505,3.8401383e14,,,,
311,175.94313,337.44342,441.38614,4.012258e14,,,,
312,286.2318,370.3469,116.84792,1.6311923e14,,,,
313,366.39713,129.6309,300.85287,3.5675545e14,,,,
314,237.77985,321.73227,401.3536,4.0703616e14,,,,
315,254.24806,447.1867,284.4877,3.2487693e14,,,,
316,355.3086,479.25305,382.80466,3.609593e14,,,,
317,203.43307,183.02727,422.0949,3.6418863e14,,,,
318,16.96756,477.74182,186.33423,3.721275e14,,,,
319,144.51785,351.7275,456.05658,4.0809125e14,,,,
320,62.624123,9.593303,85.338135,3.5721834e14,,,,
321,479.90808,397.0487,325.88278,3.64671e14,,,,
322,104.0287,36.164246,143.21417,3.5578724e14,,,,
323,221.17809,166.30692,384.78662,3.7176663e14,,,,
324,368.352,48.31318,490.56247,2.927501e14,,,,
325,89.2979,153.818,498.89462,3.568467e14,,,,
326,390.66864,136.35445,189.54674,3.974462e14,,,,
327,439.30786,256.9453,260.30002,3.6745005e14,,,,
328,78.8351,20.83306,367.84622,3.718805e14,,,,
329,297.4351,104.506805,278.27155,2.8758745e14,,,,
330,271.48953,487.19208,269.81976,3.8544124e14,,,,
331,193.09264,186.53754,327.69556,3.7106786e14,,,,
332,329.9268,28.677296,90.40794,3.794188e14,,,,
333,363.1996,472.0276,389.14944,3.8094122e14,,,,
334,339.0101,480.6851,495.4157,1.9554996e14,,,,
335,349.13968,449.76132,456.5419,4.0132064e14,,,,
336,59.01578,297.0681,386.06384,3.7784837e14,,,,
337,492.7231,464.89935,254.53471,3.7137753e14,,,,
338,386.7313,68.38788,339.31387,2.0925146e14,,,,
339,45.591908,297.80392,463.70132,3.6991956e14,,,,
340,73.671196,209.96584,191.74315,3.664439e14,,,,
341,477.09726,450.06766,235.41821,3.415578e14,,,,
342,216.43277,499.04153,77.32724,2.523086e14,,,,
343,105.431526,483.37787,378.36765,2.0652016e14,,,,
344,396.6216,167.61084,454.10016,3.6410407e14,,,,
345,29.052176,348.90268,429.26514,3.4499147e14,,,,
346,487.26303,450.70343,115.597626,3.850865e14,,,,
347,454.07468,148.24753,384.39856,3.1919244e14,,,,
348,152.88423,56.435806,409.68533,3.68066e14,,,,
349,296.41635,99.77184,156.69846,3.6377175e14,,,,
350,336.85284,54.755577,52.975647,3.7781663e14,,,,
351,6.230509,468.9141,341.32803,3.67544e14,,,,
352,422.1285,257.37924,70.55348,3.632539e14,,,,
353,184.21985,260.53485,204.1991,3.6310875e14,,,,
354,444.63678,183.26166,323.8736,1.6713548e14,,,,
355,163.42592,57.036938,133.3775,3.6225794e14,,,,
356,152.6516,396.24747,377.11908,3.684348e14,,,,
357,213.63503,201.63112,338.4448,3.7323182e14,,,,
358,58.613514,466.0458,120.21101,1.6083706e14,,,,
359,339.22504,496.79254,406.66074,3.6827274e14,,,,
360,124.9976,255.8248,69.541374,3.5907306e14,,,,
361,424.6918,164.00325,430.50104,3.4710738e14,,,,
362,421.16165,346.2038,243.95786,3.579942e14,,,,
363,33.50398,110.1955,318.3948,1.6963584e14,,,,
364,1.6721541,486.19272,451.22385,3.5148318e14,,,,
365,86.831055,363.30975,212.37239,3.8122777e14,,,,
366,342.82806,32.425095,20.056173,2.741138e14,,,,
367,379.5723,489.52988,382.0219,2.7521711e14,,,,
368,58.258507,164.48927,378.94214,3.6548252e14,,,,
369,41.78098,20.497318,453.88147,3.517432e14,,,,
370,209.272,368.53397,238.0395,3.1835955e14,,,,
371,334.6892,457.9172,379.39673,3.6858762e14,,,,
372,216.24849,301.4463,69.56757,1.7775027e14,,,,
373,358.2625,67.03033,211.38263,3.701865e14,,,,
374,295.18573,72.36922,497.91202,2.5762568e14,,,,
375,257.0385,14.596109,46.705307,2.7979893e14,,,,
376,313.77545,28.71605,180.83676,2.7633044e14,,,,
377,162.85977,286.48978,373.336,3.4190627e14,,,,
378,485.48154,338.30423,112.32869,3.615438e14,,,,
379,369.49994,490.17365,381.1408,3.5578962e14,,,,
380,386.9635,432.11017,262.84705,3.1925653e14,,,,
381,138.64806,348.45605,70.54236,2.7696583e14,,,,
382,61.04705,90.108215,356.715,3.5191502e14,,,,
383,89.46443,335.31665,199.37364,3.535325e14,,,,
384,78.6379,306.54782,403.25827,3.3223465e14,,,,
385,439.6496,40.52542,193.541,3.684542e14,,,,
386,458.05347,223.98553,341.23627,3.5421122e14,,,,
387,146.88016,26.971067,25.116201,3.3272407e14,,,,
388,30.008577,423.47083,19.530756,3.4489423e14,,,,
389,276.87292,143.73253,35.433384,3.3304035e14,,,,
390,12.272422,145.8758,296.42532,3.3935973e14,,,,
391,2.0294285,252.9279,224.01288,2.901828e14,,,,
392,495.2797,53.790867,273.29367,3.465834e14,,,,
393,393.8758,485.49084,381.32187,1.8295403e14,,,,
394,182.42921,54.614532,391.92728,3.385814e14,,,,
395,306.35675,11.028988,387.79755,3.560388e14,,,,
396,467.5156,169.98743,47.54594,3.36704e14,,,,
397,37.83237,448.50345,131.35406,2.5205103e14,,,,
398,166.11417,303.8912,269.0704,3.2537206e14,,,,
399,447.38913,147.89185,384.03503,1.6901302e14,,,,
400,436.5032,140.95793,455.2258,2.9958145e14,,,,
401,26.89548,295.88412,488.16318,3.49655e14,,,,
402,320.69354,304.6719,1.207738,3.3987264e14,,,,
403,145.50519,137.3897,284.56097,3.2856852e14,,,,
404,486.81302,269.68552,488.882,3.4354974e14,,,,
405,245.99966,276.23337,8.006752,1.6676256e14,,,,
